Fecha,Semana,DiaMes,Mes,DiasSem,KG_15EMPA09,KG_15EMPA10,KG_15PREM01,KG_15MEZC08,KG_15MOLI07,KG_15AHUM10,KG_15FORM02,KG_15SEPA02,KG_15MEZC06,KG_15AHUM01,KG_15FORM01,KG_15SEPA01,KG_15AHUM09,KG_15EMBU01,KG_15EMPM06,KG_15TUNE01,KG_15MEZC07,KG_15MOLI01,KG_15MOLI06,KG_15EMPA11,KG_15EMPM01,KG_15MEZC05,KG_15MOLI03,KG_15HORN01,KG_15PORC03,KG_15TUNE03,KG_15EMPA06,KG_15EMPA02,KG_15MOLI02,KG_15SELL02,KG_15MEZC04,KG_15MOLI08,KG_15TUNE02,KG_15PORC01,KG_15TUNE04,KG_15EMBU03,KG_15EMPA08,KG_15EMPM05,KG_15COCI01,KG_15EMPA04,KG_15TAJA02,KG_15EMUL01,KG_15SELL05,KG_15DOSI01,KG_15SELL06,KG_15SELL03,Hrs_15EMPA09,Hrs_15EMPA10,Hrs_15PREM01,Hrs_15MEZC08,Hrs_15MOLI07,Hrs_15AHUM10,Hrs_15FORM02,Hrs_15SEPA02,Hrs_15MEZC06,Hrs_15AHUM01,Hrs_15FORM01,Hrs_15SEPA01,Hrs_15AHUM09,Hrs_15EMBU01,Hrs_15EMPM06,Hrs_15TUNE01,Hrs_15MEZC07,Hrs_15MOLI01,Hrs_15MOLI06,Hrs_15EMPA11,Hrs_15EMPM01,Hrs_15MEZC05,Hrs_15MOLI03,Hrs_15HORN01,Hrs_15PORC03,Hrs_15TUNE03,Hrs_15EMPA06,Hrs_15EMPA02,Hrs_15MOLI02,Hrs_15SELL02,Hrs_15MEZC04,Hrs_15MOLI08,Hrs_15TUNE02,Hrs_15PORC01,Hrs_15TUNE04,Hrs_15EMBU03,Hrs_15EMPA08,Hrs_15EMPM05,Hrs_15COCI01,Hrs_15EMPA04,Hrs_15TAJA02,Hrs_15EMUL01,Hrs_15SELL05,Hrs_15DOSI01,Hrs_15SELL06,Hrs_15SELL03,energia
21/02/2019,8,21,2,4,26099,30169,27,54053,78220,51752,54163,51752,26616,25040,30652,25040,50656,50988,48051,50656,50988,46336,50988,5513,11648,6334,6334,5513,5513,5513,6418,13633,24775,6255,9481,9481,9481,9439,9439,0,0,0,0,2419,2419,2606,3184,0,1187,0,11.48,11.99,0.51,10.42,15.04,10.91,45.15,41.63,7.56,11.22,40.37,33.42,55.04,17.66,8.33,47.06,18.21,9.38,6.01,14.29,21.91,11.88,1.89,13.85,13.8,13.76,8.09,13.41,2.99,5.76,8.56,1.9,6,9.67,12.61,0,0,0,0,8.74,8.74,0.28,6.58,0,2.99,0,32798.52
22/02/2019,8,22,2,5,20434,22413,23,44451,54369,42234,44451,42234,26339,24930,28373,24930,53098,53429,50547,53098,53429,53429,53429,3949,11318,4017,4017,1663835,1663835,1663835,3134,20668,35791,6288,9517,9517,9517,9474,9474,0,0,0,0,2365,2365,2552,3186,1153,953,0,11.86,13.11,0.45,8.49,10.38,11.61,47.24,38.15,7.31,9.3,31.28,27.79,54.65,19.47,8.5,46.83,19.49,10.98,6.06,14.26,22.48,7.32,1.89,11.94,11.98,12.02,5.23,15.62,3.91,5.79,8.59,1.91,6.02,9.7,12.65,0,0,0,0,10.26,10.26,0.27,6.42,3.79,3.15,0,31373.64
23/02/2019,8,23,2,6,16144,20572,18,32182,41236,30554,32183,30554,20004,18845,20102,18845,35755,35984,34836,35755,35984,33697,35984,4403,2173,5051,5051,4403,4403,4403,2721,9580,10950,0,0,0,0,0,0,0,0,0,0,853,853,919,0,0,1182,0,7.72,9.36,0.35,6.48,7.72,8.01,33.5,26.55,5.61,8.28,26.85,24.64,37.24,12.76,5.71,31.89,12.95,6.94,4.11,11.49,6.19,9.32,1.46,11.12,11.08,11.04,4.14,9.55,1.23,0,0,0,0,0,0,0,0,0,0,3.08,3.08,0.1,0,0,2.98,0,27041.4
24/02/2019,8,24,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14297.04
25/02/2019,9,25,2,1,22725,24228,16,48226,58800,46111,48289,46111,18599,17459,18424,17459,36237,36477,33887,36237,36477,36477,36477,3386,10160,3367,3367,1680701,1680701,1680701,604,15547,41346,4680,9546,9546,9546,9489,9489,0,0,0,0,2182,2182,2352,4809,1173,1008,0,11.09,11.83,0.32,8.87,11.47,10.63,43.51,38.06,5.22,6.89,21.84,20.56,40.34,12.25,5.48,34.12,13.22,7.37,4.25,14.94,22.72,8.12,1.79,10.53,10.58,10.63,0.66,12.99,4.63,4.31,8.8,1.95,6.01,9.66,12.72,0,0,0,0,7.89,7.89,0.25,9.86,4.8,3.33,0,31458.96
26/02/2019,9,26,2,2,16150,22082,27,36691,62599,34876,36692,34876,28467,26901,28558,26901,36515,37066,34950,36515,37390,31006,37390,4461,10095,5118,5118,4461,4461,4461,8564,14642,2558,4752,7924,7924,7924,7884,7884,0,0,0,0,1454,1454,1566,3132,0,1209,0,7.76,9.27,0.52,7.39,11.71,8.54,35.24,31.29,8.04,11.45,36.7,34.25,39.73,14.48,6.51,33.73,13.62,6.44,4.15,11.65,20.41,9.44,1.47,11.27,11.23,11.19,11.42,13.3,0.31,4.42,7.21,1.6,5,8.05,10.55,0,0,0,0,5.25,5.25,0.17,6.31,0,3.05,0,30065.4
27/02/2019,9,27,2,3,22781,23928,22,47949,49121,45458,47950,45458,20553,19581,20633,19581,39428,40341,36859,39428,41007,37458,41007,4236,1113,4367,4367,952244,952244,952244,2356,15431,34985,0,11100,11100,0,0,10942,11100,10942,10942,11100,2386,2386,2571,0,1121,949,0,13.38,14.55,0.43,9.42,9.17,13.18,53.37,42.54,5.7,7.63,24.06,22.79,46.47,14.3,6.48,37.42,14.96,7.57,4.7,19.67,3.17,8.06,1.46,11.4,11.37,11.34,3.72,12.39,3.84,0,7.77,1.6,0,0,9.69,11.81,11.67,10.66,9.93,8.62,8.62,0.27,0,7.08,3.14,0,31809.6
28/02/2019,9,28,2,4,25868,30392,28,55200,75216,52778,55294,52778,22521,21226,22616,21226,48144,49103,45470,48144,49768,41577,49768,5592,10102,6417,6417,5592,5592,5592,6359,10948,23569,3928,7945,7945,7118,7903,7903,0,0,0,0,2483,2483,2676,3216,0,2364,759,11.09,11.99,0.52,10.7,14.43,11.53,47.54,43.53,6.29,9.17,29.67,27.36,54.57,18.1,8.04,44.98,18.09,8.52,5.62,14.49,21.13,12.23,1.82,14.07,14.02,13.97,7.79,10.46,2.81,3.61,8.41,1.77,4.93,8.22,12.2,0,0,0,0,8.97,8.97,0.28,6.48,0,5.96,2.02,31948.2
01/03/2019,9,1,3,5,16847,17342,12,35087,33705,33294,35088,33294,20723,19717,20779,19717,31010,31199,28347,31010,31199,31199,31199,3191,10079,3667,3667,970982,970982,970982,2572,15754,32438,4710,7898,7898,7898,7857,7857,0,0,0,0,2473,2473,2665,3147,0,969,0,9.43,10.52,0.23,6.85,6.38,9.81,40.12,29.91,5.87,7.92,24.93,23.75,33.19,10.5,4.47,27.93,11.34,6.31,3.67,9.34,20.45,6.7,1.08,8.83,8.8,8.76,4.08,13.23,3.58,4.41,7.2,1.6,4.98,8.02,10.51,0,0,0,0,8.94,8.94,0.28,6.34,0,3.2,0,28580.4
02/03/2019,9,2,3,6,22049,27350,16,47394,52554,45460,47491,45460,5160,4939,5234,4939,34197,34346,32731,34197,34346,29667,34346,0,0,0,0,0,0,0,0,733,22947,0,0,0,0,0,0,0,0,0,0,1360,1360,1467,0,0,0,0,7.85,9.26,0.3,8.92,10.62,8.62,36.41,34.05,1.24,1.66,5.29,4.84,33.03,10.68,5.49,30.25,12.22,6,4.02,0,0,0,0,0,0,0,0,0.69,2.72,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0.16,0,0,0,0,23455.8
03/03/2019,9,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13914.72
04/03/2019,10,4,3,1,23250,15479,13,42966,48075,40860,42967,40860,16810,15961,16844,15961,30384,30896,28193,30384,31227,29462,31227,3114,0,3038,3038,947123,947123,947123,1235,16343,36160,0,8518,8518,0,0,8392,8518,8392,8392,8518,2035,2035,2193,0,1139,945,0,11.74,9.02,0.25,8.81,10.11,10.9,44.93,39.15,4.81,6.58,20.83,19.75,34.06,10.77,4.57,27.88,11.52,6.08,3.5,9.63,0,5.92,1.09,8.35,8.33,8.31,1.92,13.65,4.09,0,5.97,1.23,0,0,7.38,9.04,9,8.18,7.62,7.35,7.35,0.23,0,3.74,3.13,0,30286.08
05/03/2019,10,5,3,2,28020,27581,18,57380,67487,54911,57521,54911,20260,19033,20316,19033,44735,45028,42151,44735,45028,40377,45028,4404,9976,5052,5052,4404,4404,4404,6482,11278,39596,4671,7833,7833,7833,7794,7794,0,0,0,0,2399,2399,2585,3123,0,1184,0,11.49,11.43,0.35,11.12,13.15,12.45,49.92,45.42,5.79,8.59,27.88,25.66,50.35,16.29,7.96,43.35,16.49,8.29,4.99,11.5,20.22,9.32,1.45,11.13,11.08,11.04,7.93,10.97,4.8,4.3,7.13,1.58,4.94,7.96,10.42,0,0,0,0,8.67,8.67,0.27,6.3,0,2.99,0,32550.84
06/03/2019,10,6,3,3,19741,21540,14,41408,40245,39386,41408,39386,18123,17269,18209,17269,44167,44759,41693,44167,45092,43321,45092,4411,9214,4492,4492,4003,4003,4003,355,14529,38005,4638,7029,7029,7029,7002,7002,0,0,0,0,2286,2286,2475,1560,1179,0,804,10.83,12.28,0.28,7.82,7.66,10.75,44.08,34.46,4.96,6.65,21.02,19.8,47.29,16.16,7.64,39.22,16.42,8.73,5.16,14.91,17.19,7.43,1.41,11.2,11.16,11.12,0.39,11.75,4.16,4.27,6.82,1.45,4.93,7.43,11.93,0,0,0,0,13.07,13.07,0.26,3.15,5.04,0,2.15,31371.48
07/03/2019,10,7,3,4,30809,30725,20,61710,68871,59158,61901,59158,15263,14095,15048,14095,48214,48515,45527,48214,48515,48515,48515,2657,5244,3127,3127,2656759,2656759,2656759,2434,8672,45476,1566,4545,4545,4545,4512,4512,0,0,0,0,2495,2495,2688,2946,0,1925,0,12.49,12.33,0.38,11.83,13.66,12.65,52.14,46.48,4.44,6.38,20.71,19.01,51.55,17.16,8.2,44,17.84,9.96,5.42,10.79,14.38,6.96,1.64,9.34,9.39,9.45,3.79,8.5,5.43,1.44,4.27,0.94,2.85,4.57,6.07,0,0,0,0,9.01,9.01,0.29,5.94,0,6.36,0,32150.52
08/03/2019,10,8,3,5,23766,25357,17,51881,48725,49317,51881,49317,16226,15391,16285,15391,51373,52035,48754,51373,52368,45959,52368,4356,9925,4997,4997,4356,4356,4356,3172,11874,39931,4581,7807,7807,7807,7767,7767,0,0,0,0,2432,2432,2620,3186,0,1170,0,12.87,14.41,0.34,9.9,9.28,13.25,54.04,43.91,4.52,6.28,20.07,18.7,56.57,19.28,8.88,47.61,18.8,9.29,6.09,11.37,20.27,9.21,1.44,11,10.96,10.92,5.16,9.39,4.37,4.22,7.11,1.58,4.93,7.93,10.39,0,0,0,0,8.79,8.79,0.28,6.6,0,2.95,0,32212.8
09/03/2019,10,9,3,6,20318,20315,8,42858,42420,41369,43031,41369,2084,1995,2114,1995,34719,35269,33515,34719,35587,33892,35587,4471,10715,5129,5129,4471,4471,4471,2436,0,41579,6988,8588,8588,7813,8562,8562,0,0,0,0,1118,1118,1205,1574,0,1246,0,7.13,6.85,0.15,7.78,8.74,7.44,30.61,29.73,0.5,0.67,2.14,1.95,39.94,11.46,5.58,32.87,12.8,6.86,4.14,11.66,16.88,9.49,1.48,11.29,11.25,11.21,1.86,0,4.96,6.42,8.2,1.81,4.96,8.75,10.63,0,0,0,0,4.25,4.25,0.13,3.17,0,3.14,0,26388
10/03/2019,10,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13973.4
11/03/2019,11,11,3,1,24920,22613,16,48733,51902,46372,48733,46372,22530,21200,22392,21200,41153,41396,39366,41153,41396,36709,41396,3823,655,3883,3883,2630575,2630575,2630575,1474,18014,43294,0,12592,12592,0,0,12406,12592,12406,12406,12592,1659,1659,1787,0,1194,1975,0,13.26,13.04,0.32,9.14,9.92,12.41,50.81,40.61,6.27,8.35,26.49,24.87,43.23,14.65,6.75,38.06,15,7.59,4.66,16.25,3.32,7.94,1.89,12.15,12.19,12.23,2.25,14.81,4.73,0,8.82,1.81,0,0,10.92,13.36,13.3,12.1,11.26,5.99,5.99,0.19,0,4.77,6.53,0,33791.4
12/03/2019,11,12,3,2,29948,30513,18,64640,84712,61897,64787,61897,20072,18825,20072,18825,45756,46359,43750,45756,46692,44919,46692,6619,9938,7605,7605,6619,6619,6619,4623,15008,39130,6138,7774,7774,7774,7748,7748,0,0,0,0,1863,1863,2008,1610,0,2348,0,11.83,11.8,0.35,12.61,17.1,12.85,52.19,51.04,5.94,8.81,28.54,26.48,50.53,15.11,7.77,42.33,16.94,9.06,5.35,17.07,16.8,14.62,2.23,16.59,16.53,16.48,7.08,14.04,4.75,5.65,6.9,1.54,4.93,7.97,10.32,0,0,0,0,6.73,6.73,0.21,3.25,0,5.92,0,32860.44
13/03/2019,11,13,3,3,21486,24767,21,45832,49393,43509,45832,43509,22939,21959,23058,21959,46255,46527,43716,46255,46527,41896,46527,3092,9394,3011,3011,1919560,1919560,1919560,360,18289,37512,6204,9436,9436,9436,9394,9394,0,0,0,0,2357,2357,2540,3190,1173,1919,0,12,14.21,0.42,9.06,9.6,12.32,50.29,40.35,6.19,7.96,24.89,23.74,49.45,16.46,8.28,42.99,16.83,8.42,5.31,11.84,15.59,6.21,1.09,9.02,9.01,8.99,0.39,14.06,4.16,5.71,8.52,1.89,5.97,9.62,12.55,0,0,0,0,8.52,8.52,0.27,6.59,4.51,6.35,0,32444.28
14/03/2019,11,14,3,4,33592,32322,32,61187,82756,58676,61377,58676,24087,22748,24240,22748,51767,52400,49238,51767,52721,51015,52721,5597,12755,6416,6416,5597,5597,5597,4060,10888,37304,6198,9423,9423,9423,9381,9381,0,0,0,0,2348,2348,2530,3183,0,1156,0,14.17,12.63,0.6,12.04,16.23,12.47,51.71,47.4,6.61,9.63,31.13,28.56,56.53,18.68,9.05,47.35,19.43,10.45,5.83,14.73,25.17,11.5,1.83,14.21,14.16,14.11,4.23,10.64,4.6,5.71,8.51,1.89,5.96,9.61,12.53,0,0,0,0,8.48,8.48,0.27,6.42,0,2.92,0,32604.12
15/03/2019,11,15,3,5,22332,24469,23,45699,52210,43373,45700,43373,25873,24387,25734,24387,53166,53491,50808,53166,53491,48814,53491,2804,10021,2694,2694,1614089,1614089,1614089,2598,17790,35913,6165,9388,9388,9388,9346,9346,0,0,0,0,2188,2188,2359,3181,1191,939,0,12.67,14.21,0.45,8.87,9.83,12.35,50.3,39.65,7.23,9.59,30.33,28.61,55.67,19.71,9.55,47.99,19.41,9.94,6.03,12.11,18.95,5.16,1.5,8.92,8.97,9.03,4.06,14.59,3.94,5.68,8.48,1.89,5.94,9.57,12.48,0,0,0,0,8.26,8.26,0.25,6.41,4.42,3.1,0,31771.08
16/03/2019,11,16,3,6,29893,32985,22,61168,81542,58675,61351,58675,20374,19165,20445,19165,40202,40770,37831,40202,41103,39331,41103,5520,12640,6327,6327,5520,5520,5520,5114,9320,33147,7740,9371,9371,9371,9343,9343,0,0,0,0,2201,2201,2372,1603,0,1174,0,11.55,11.93,0.42,11.72,15.99,11.65,48.54,45.36,5.75,8.49,27.53,25.33,43.98,14.98,7.09,36.48,15.1,7.9,4.61,14.52,21.36,11.36,1.8,14.01,13.96,13.91,7.89,9.04,4.05,7.13,8.28,1.85,5.95,9.62,12.44,0,0,0,0,7.95,7.95,0.25,3.43,0,2.96,0,30916.08
17/03/2019,11,17,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14024.16
18/03/2019,12,18,3,1,22670,26771,20,50010,49784,47488,50010,47488,21861,20934,21969,20934,42948,43534,40853,42948,43866,42095,43866,4152,12400,4777,4777,852264,852264,852264,362,18003,42394,6342,10210,10210,10210,10165,10165,0,0,0,0,1940,1940,2096,2967,0,0,856,12.49,15.24,0.39,9.84,9.74,13.39,54.63,43.78,5.91,7.57,23.63,22.58,46.47,15.65,7.21,38.62,16.19,8.66,4.83,10.59,23.34,9.04,1.47,11.08,11,11.04,0.4,13.79,4.69,5.97,9.79,2.1,6.96,10.66,16.33,0,0,0,0,8.99,8.99,0.22,5.98,0,0,2.28,32920.56
19/03/2019,12,19,3,2,34491,32282,22,68900,84385,66025,69050,66025,18068,16988,18137,16988,46249,46876,43473,46249,47208,40765,47208,5611,3325,6432,6432,5611,5611,5611,5935,9717,43110,0,11530,11530,0,0,11363,11530,11363,11363,11530,2578,2578,2778,0,0,1210,0,14.19,12.81,0.42,13.23,16.83,13.76,55.82,53.39,5.16,7.68,24.93,22.89,52.82,17.14,8.43,44.37,17.09,8.2,5.39,14.76,9.47,11.56,1.83,14.24,14.19,14.13,7.37,9.45,5.2,0,8.07,1.66,0,0,10.04,12.25,12.15,11.08,10.31,9.31,9.31,0.3,0,0,3.05,0,35355.6
20/03/2019,12,20,3,3,24714,30683,19,57323,56837,54571,57323,54571,18842,18148,18920,18148,48084,48379,44242,48084,48379,48379,48379,4595,10750,4694,4694,4167,4167,4167,0,16820,39044,9297,10779,10779,10779,10750,10750,0,0,0,0,3567,3567,3844,1453,1198,2347,0,12.16,15.29,0.38,10.87,11.26,13.75,56.68,46.62,5.11,6.18,18.83,18.56,52.85,16.53,7.69,44.83,17.92,9.93,5.4,12.54,12.9,9.22,1.46,11.36,11.32,11.29,0,12.47,4.27,8.56,9.48,2.12,6.86,11.09,14.3,0,0,0,0,12.89,12.89,0.41,2.93,3.94,5.92,0,33484.32
21/03/2019,12,21,3,4,35128,41395,32,73577,89474,70442,73734,70442,15897,15095,15774,15095,51998,52662,49333,51998,52995,46569,52995,4884,13727,5668,5668,2653915,2653915,2653915,0,8558,30389,9327,10839,10839,10839,10810,10810,0,0,0,0,2472,2472,2667,1483,0,958,0,13.84,15.11,0.62,14.18,17.96,14.3,59.81,55.37,4.13,4.78,14.65,14.17,58.74,18.4,9.2,49.27,19.1,9.39,6.1,15.46,22.85,11.24,2.31,15.02,15,15.11,0,5.54,3.68,8.59,9.54,2.14,6.89,11.15,14.38,0,0,0,0,10.31,10.31,0.28,3.19,0,3.17,0,33764.4
22/03/2019,12,22,3,5,23638,28131,22,53607,52699,50916,53608,50916,21242,20229,21315,20229,57434,57785,54986,57434,57785,57785,57785,5623,14215,6446,6446,5623,5623,5623,1022,17745,44391,7794,10948,10948,10948,10904,10904,0,0,0,0,2273,2273,2449,3110,0,1218,0,13.24,16.21,0.42,10.26,9.99,14.18,57.54,46.25,5.92,7.95,25.08,23.77,59.8,20.67,9.51,51.02,21.16,11.82,6.47,14.79,26.19,11.6,1.84,14.27,14.21,14.16,1.43,14.6,4.86,7.18,9.82,2.19,6.93,11.19,14.55,0,0,0,0,8.21,8.21,0.26,6.27,0,3.07,0,34786.44
23/03/2019,12,23,3,6,31115,35210,26,65041,84270,62326,65188,62326,21722,20476,21825,20476,35322,35861,33855,35322,36184,29632,36184,2076,14080,1851,1851,945015,945015,945015,5625,10350,30319,7749,14157,14157,14157,14080,14080,0,0,0,0,1362,1362,1467,6331,1131,944,0,12.44,12.77,0.49,12.52,16.45,12.78,53.27,49.06,6.02,8.8,28.48,26.2,38.35,13.87,6.3,32.31,13.13,6.17,4.04,8.78,26.85,3.53,0.69,5.84,5.82,5.81,6.58,9.99,3.68,7.14,12.96,2.87,8.92,14.36,18.85,0,0,0,0,4.92,4.92,0.16,12.76,4.58,3.12,0,32592.6
24/03/2019,12,24,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12352.68
25/03/2019,13,25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15083.28
26/03/2019,13,26,3,2,25982,28790,21,59787,62197,56999,59875,56999,18966,18137,19016,18137,49185,49485,46646,49185,49485,49485,49485,5465,16456,6279,6279,5465,5465,5465,1342,18397,48689,9486,14318,14318,14318,14254,14254,0,0,0,0,2355,2355,2540,4768,0,1164,0,12.87,14.81,0.41,11.44,12.1,14.47,58.6,49.69,5.27,6.79,21.19,20.35,52.33,17.74,8.56,44.74,18.27,10.11,5.46,14.17,29.76,11.77,1.87,13.73,13.68,13.64,2.07,14,5.53,8.73,12.92,2.87,9.06,14.6,19.04,0,0,0,0,9.36,9.36,0.27,9.83,0,2.94,0,34110.36
27/03/2019,13,27,3,3,32678,37470,29,66302,96113,63562,66451,63562,29811,28173,30963,28173,51100,51732,49180,51100,52050,45667,52050,3737,621,3814,3814,2618422,2618422,2618422,3806,17233,31355,0,14534,14534,0,0,14318,14534,14318,14318,14534,1783,1783,1922,0,1119,1957,0,12.82,13.6,0.56,12.61,18.97,12.45,52.42,48.58,8.14,10.76,35.31,32.09,55.06,19.23,9.14,46.62,18.93,9.38,5.81,14.95,3.15,7.85,1.84,11.86,11.9,11.95,5.8,13.87,3.76,0,10.18,2.09,0,0,12.58,15.41,15.37,13.96,13,6.44,6.44,0.2,0,4.1,6.47,0,37593.24
28/03/2019,13,28,3,4,27337,29796,23,59559,67075,56748,59609,56748,24063,22890,26901,22890,55644,55995,53343,55644,55995,51392,55995,6675,16725,7654,7654,6675,6675,6675,3601,18239,49976,6285,13489,13489,13489,13411,13411,0,0,0,0,2137,2137,2302,6361,0,2324,765,14.62,16.22,0.44,11.67,13.38,14.57,59.69,50.8,6.71,9.1,31.59,27.21,58.56,20.5,9.62,50.35,20.11,10.36,6.47,17.43,36.81,14.19,2.16,16.88,16.81,16.75,5.8,14.92,5.65,5.79,12.93,2.79,8.94,13.88,20.43,0,0,0,0,7.72,7.72,0.24,13.07,0,5.86,2.04,32883.12
29/03/2019,13,29,3,5,31220,34114,32,63447,84281,60726,63576,60726,23397,22039,23510,22039,54880,55541,52157,54880,55874,54102,55874,5529,17081,6353,6353,5529,5529,5529,5093,11825,27940,10101,14940,14940,14226,14876,14876,0,0,0,0,2528,2528,2724,4775,0,1188,0,13.15,13.3,0.6,12.28,16.32,12.89,53.43,49.02,6.57,9.7,31.42,28.84,58.77,19.94,9.18,49.16,20.52,11.09,6.24,14.33,29.92,11.92,1.89,13.89,13.84,13.8,5.85,11.63,3.38,9.29,14.01,3.09,9,15.18,19.15,0,0,0,0,9.35,9.35,0.29,9.63,0,3,0,34907.04
30/03/2019,13,30,3,6,29014,31431,14,63045,61768,60294,63169,60294,20750,19583,20547,19583,52138,52462,49794,52138,52462,50221,52462,1902,14870,1655,1655,726564,726564,726564,268,18477,60960,9369,14208,14208,14208,14144,14144,0,0,0,0,2176,2176,2345,4775,1176,0,0,13.23,15.16,0.29,11.84,12.37,14.48,59.44,49.1,5.85,7.37,22.95,22.09,54.72,19.26,8.81,46.96,19.1,10.23,5.92,9.54,27.09,2.72,1.18,6.14,6.2,6.27,0.29,14.68,6.97,8.63,12.83,2.85,8.98,14.48,18.89,0,0,0,0,7.86,7.86,0.25,9.63,4.57,0,0,32118.84
31/03/2019,13,31,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14260.32
01/04/2019,14,1,4,1,27931,29726,26,54306,78320,52025,54447,52025,24014,22789,24139,22789,39186,39734,35899,39186,40048,38373,40048,3245,14281,3729,3729,3245,3245,3245,4803,11852,27691,9366,13336,13336,13336,13286,13286,0,0,0,0,3052,3052,3289,3153,0,1220,767,11.51,11.37,0.5,10.45,15.19,10.7,44.48,41.04,6.51,9.01,28.85,26.81,43.45,13.56,5.82,35.66,14.6,7.76,4.66,8.35,22.89,7.21,1.09,8.12,8.1,8.07,7.46,9.48,3.35,8.62,12.43,2.71,8.91,13.87,20.19,0,0,0,0,11.03,11.03,0.35,6.57,0,3.08,2.05,32625
02/04/2019,14,2,4,2,24376,26423,17,53324,46573,50657,53325,50657,18062,17246,18130,17246,40709,40970,38041,40709,40970,36334,40970,4529,17488,4589,4589,4102,4102,4102,380,16125,46334,9402,14234,14234,14234,14170,14170,0,0,0,0,2478,2478,2670,4768,1210,0,0,13.64,15.58,0.33,10.21,8.9,14.18,57.73,45.51,4.99,6.55,20.54,19.59,44.42,15.29,6.73,38.26,14.94,7.51,4.61,14.11,32.87,7.1,1.36,11.61,11.56,11.52,0.42,12.97,5.08,8.66,12.85,2.86,9,14.51,18.93,0,0,0,0,8.95,8.95,0.28,9.61,4.5,0,0,33089.76
03/04/2019,14,3,4,3,32415,31673,24,65507,79497,62794,65680,62794,16540,15575,19077,15575,53128,53790,50269,53128,54123,52353,54123,5305,2194,6103,6103,956550,956550,956550,4724,9075,39660,0,14622,14622,0,0,14404,14622,14404,14404,14622,2654,2654,2860,0,0,2121,0,13.18,12.06,0.46,12.54,15.72,13.08,52.77,50.46,4.66,6.89,24.82,20.5,58.86,18.31,8.82,48.88,19.66,10.56,6.23,14.64,6.25,11.78,1.82,14.03,13.98,13.93,5.52,8.61,4.85,0,10.24,2.11,0,0,12.64,15.5,15.47,14.05,13.08,9.59,9.59,0.3,0,0,6.1,0,34215.12
