Fecha,Semana,DiaMes,Mes,DiasSem,KG_15EMPA09,KG_15EMPA10,KG_15PREM01,KG_15MEZC08,KG_15MOLI07,KG_15AHUM10,KG_15FORM02,KG_15SEPA02,KG_15MEZC06,KG_15AHUM01,KG_15FORM01,KG_15SEPA01,KG_15AHUM09,KG_15EMBU01,KG_15EMPM06,KG_15TUNE01,KG_15MEZC07,KG_15MOLI01,KG_15MOLI06,KG_15EMPA11,KG_15EMPM01,KG_15MEZC05,KG_15MOLI03,KG_15HORN01,KG_15PORC03,KG_15TUNE03,KG_15EMPA06,KG_15EMPA02,KG_15MOLI02,KG_15SELL02,KG_15MEZC04,KG_15MOLI08,KG_15TUNE02,KG_15PORC01,KG_15TUNE04,KG_15EMBU03,KG_15EMPA08,KG_15EMPM05,KG_15COCI01,KG_15EMPA04,KG_15TAJA02,KG_15EMUL01,KG_15SELL05,KG_15DOSI01,KG_15SELL06,KG_15SELL03,Hrs_15EMPA09,Hrs_15EMPA10,Hrs_15PREM01,Hrs_15MEZC08,Hrs_15MOLI07,Hrs_15AHUM10,Hrs_15FORM02,Hrs_15SEPA02,Hrs_15MEZC06,Hrs_15AHUM01,Hrs_15FORM01,Hrs_15SEPA01,Hrs_15AHUM09,Hrs_15EMBU01,Hrs_15EMPM06,Hrs_15TUNE01,Hrs_15MEZC07,Hrs_15MOLI01,Hrs_15MOLI06,Hrs_15EMPA11,Hrs_15EMPM01,Hrs_15MEZC05,Hrs_15MOLI03,Hrs_15HORN01,Hrs_15PORC03,Hrs_15TUNE03,Hrs_15EMPA06,Hrs_15EMPA02,Hrs_15MOLI02,Hrs_15SELL02,Hrs_15MEZC04,Hrs_15MOLI08,Hrs_15TUNE02,Hrs_15PORC01,Hrs_15TUNE04,Hrs_15EMBU03,Hrs_15EMPA08,Hrs_15EMPM05,Hrs_15COCI01,Hrs_15EMPA04,Hrs_15TAJA02,Hrs_15EMUL01,Hrs_15SELL05,Hrs_15DOSI01,Hrs_15SELL06,Hrs_15SELL03,energia
22/02/2018,8,22,2,4,23598,25562,25,48116,70202,46082,48228,46082,24421,22987,24518,22987,44821,45032,42608,44821,45032,45032,45032,6742,10302,6040,6040,5509,5509,5509,8347,11111,24606,7716,12000,12000,9278,9250,11929,2723,2679,2679,2723,2054,2054,2213,1534,3454,1191,0,9.91,9.97,0.46,9.26,13.42,9.82,40.23,36.79,6.86,10.1,32.73,30.11,42.85,15.15,7.1,38.54,16.52,9.27,5.04,20.01,14.73,10.2,2.03,16.79,16.74,16.69,10.96,10.7,2.97,7.1,10.1,2.23,5.9,9.53,14.64,2.87,2.9,2.62,2.44,7.42,7.42,0.24,3.34,11.35,3,0,34817.4
23/02/2018,8,23,2,5,22140,22567,18,48608,45100,46186,48608,46186,15812,15155,15880,15155,47114,47321,44238,47114,47321,42618,47321,5506,7204,4723,4723,4362,4362,4362,2215,13908,38756,4536,8853,8853,6102,6079,8793,2751,2714,2714,2751,2670,2670,2877,1543,3360,0,0,12.37,13.32,0.35,9.3,8.66,12.65,51.58,41.03,4.3,5.46,16.96,16.33,45.93,14.59,7.37,41.33,16.93,8.62,5.57,27.23,12.12,7.34,1.67,13.95,13.91,13.87,3.56,10.44,4.24,4.18,7.38,1.61,3.87,6.24,10.53,2.94,2.88,2.64,2.46,9.65,9.65,0.31,3.11,16.08,0,0,34070.76
24/02/2018,8,24,2,6,11563,13109,0,26887,10485,25553,26887,25553,0,0,0,0,0,0,0,0,0,0,0,6315,9249,4723,4723,4492,4492,4492,0,621,26887,7713,9277,9277,9277,9249,9249,0,0,0,0,0,0,0,1536,5181,1134,0,6.33,7.84,0.01,5.12,2.11,7.22,29.45,22.47,0,0,0,0,0,0,0,0,0,0,0,25.28,11.74,7.2,1.75,15.74,15.7,15.66,0,0.58,2.96,7.1,8.19,1.83,5.9,9.53,12.31,0,0,0,0,0,0,0,3.1,19.51,2.86,0,21372.12
25/02/2018,8,25,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14937.12
26/02/2018,9,26,2,1,28034,25013,24,54175,69777,51832,54262,51832,15602,14732,15699,14732,40294,40498,38472,40294,40498,40498,40498,6584,2167,5891,5891,5379,5379,5379,454,12638,40528,0,2686,2686,0,0,2643,2686,2643,2643,2686,1692,1692,1823,0,3376,0,0,13.29,11.51,0.45,9.97,13.41,11.5,47.08,43.2,4.29,6.25,20.22,18.55,38.73,14.3,6.59,34.69,14.88,8.35,4.51,19.77,6.17,9.24,1.99,16.52,16.47,16.42,0.5,11.79,4.57,0,1.88,0.39,0,0,2.29,2.83,2.86,2.58,2.4,6.11,6.11,0.19,0,11.09,0,0,34008.48
27/02/2018,9,27,2,2,26069,29046,19,58054,72988,55655,58195,55655,17412,16338,17446,16338,42019,42217,40203,42019,42217,37560,42217,7215,5688,6648,6648,6051,6051,6051,7895,8526,28739,3093,7400,7400,4640,4619,7335,2760,2716,2716,2760,1686,1686,1817,1526,3416,1168,0,10.09,10.52,0.36,11.1,14.33,11.28,46.35,43.36,5.02,7.49,24.33,22.4,40.82,13.5,6.85,36.71,15.01,7.6,4.98,32.02,10.61,13,2.3,18.28,18.23,18.18,10.14,8.21,3.5,2.85,6.12,1.33,2.93,4.73,8.52,2.91,2.95,2.65,2.47,6.09,6.09,0.19,3.08,16.28,2.95,0,34149.96
28/02/2018,9,28,2,3,20997,23472,23,45388,45102,43076,45388,43076,18844,18051,18955,18051,49276,49527,46422,49276,49527,49527,49527,6894,8793,6165,6165,5625,5625,5625,0,16167,33930,4701,10315,10315,7723,7684,10234,2592,2550,2550,2592,2650,2650,2856,2983,3554,1182,0,11.92,13.67,0.45,8.84,8.53,12.17,49.67,38.8,5.04,6.47,20.18,19.26,48.19,16.74,7.79,42.31,17.9,10.01,5.79,20.48,16.76,10.38,2.07,17.17,17.12,17.07,0,12.26,3.73,4.35,8.84,1.93,4.87,7.85,12.48,2.73,2.77,2.49,2.32,9.58,9.58,0.3,6.01,11.68,2.98,0,34011.72
01/03/2018,9,1,3,4,26223,29869,20,56499,71567,54117,56630,54117,15068,14151,15104,14151,47132,47382,44370,47132,47382,42719,47382,6791,9962,6146,6146,5619,5619,5619,5168,6573,24728,6237,10435,10435,7803,7778,10374,2631,2596,2596,2631,2565,2565,2763,1541,3431,1176,0,9.99,10.54,0.39,10.86,14.1,10.88,45.36,42.43,4.3,6.38,20.72,19.09,46.71,17.06,8.04,41.59,17.22,8.8,5.36,30.26,16.65,9.86,1.98,17.26,17.21,17.15,7.92,6.66,3,5.74,8.76,1.93,4.95,8,12.68,2.81,2.75,2.53,2.35,9.27,9.27,0.29,3.11,16.09,2.97,0,35050.32
02/03/2018,9,2,3,5,29763,32521,27,60270,62633,57498,60381,57498,18639,17863,18751,17863,61220,61567,59360,61220,61567,56945,61567,6817,9695,6093,6093,5560,5560,5560,2113,10386,37368,5528,11322,11322,7883,8629,11240,2653,2610,2610,2653,1728,1728,1862,3101,3521,1175,0,13.47,14.76,0.52,11.87,12.3,13.94,57.46,47.98,4.97,6.36,19.81,18.92,60.15,22.28,10.65,53.01,21.92,11.52,7.22,20.25,17.28,10.27,2.05,16.97,16.93,16.88,3.53,7.26,4.39,5.08,10.31,2.23,4.98,8.76,13,2.79,2.84,2.55,2.37,6.24,6.24,0.2,6.25,11.57,2.96,0,35605.8
03/03/2018,9,3,3,6,0,0,3,0,0,0,0,0,0,0,0,0,24372,24516,24372,24372,24516,24516,24516,6736,1094,6107,6107,5571,5571,5571,0,0,0,0,4155,4155,0,0,4091,4155,4091,4091,4155,0,0,0,0,3414,1163,0,0,0,0.06,0,0,0,0,0,0,0,0,0,23.29,8.64,4.22,20.34,8.69,4.97,2.89,30.02,3.11,10.29,2.05,16.98,16.94,16.89,0,0,0,0,2.91,0.6,0,0,3.58,4.4,4.41,3.99,3.72,0,0,0,0,16.1,2.93,0,23158.44
04/03/2018,9,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5213,0,3414,3414,3351,3351,3351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41,0,4.4,1.39,12.9,12.87,12.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.13,0,0,16464.24
05/03/2018,10,5,3,1,24203,26968,25,52456,53263,49804,52456,49804,20032,19196,20161,19196,41142,41361,39038,41142,41361,41361,41361,6767,2195,6017,6017,5501,5501,5501,0,17300,38552,0,2772,2772,0,0,2734,2772,2734,2734,2772,1954,1954,2105,0,3545,0,0,13.88,15.68,0.49,10.16,10.07,13.86,56.56,44.92,5.32,6.81,21.26,20.26,40.67,14.04,6.44,35.79,15.17,8.53,4.65,20.37,6.25,9.4,2.03,16.98,16.92,16.87,0,13.34,4.22,0,1.94,0.4,0,0,2.44,2.96,2.9,2.66,2.48,7.06,7.06,0.22,0,11.65,0,0,35217
06/03/2018,10,6,3,2,27706,32461,26,60134,81365,57573,60262,57573,23595,22210,23689,22210,41204,41421,39604,41204,41421,39109,41421,6691,10625,6088,6088,5561,5561,5561,7899,11225,27553,6810,12283,12283,8463,8435,12196,3820,3761,3761,3820,1486,1486,1601,837,3318,1182,788,11.21,12.21,0.49,11.58,15.73,12.12,49.84,45.88,6.63,9.75,31.62,29.09,40.18,15.03,6.89,35.57,15.07,8.08,4.66,30.23,16.8,9.79,1.96,17.02,16.97,16.91,10.19,10.81,3.33,6.76,10.72,2.28,5.84,8.91,17.06,4.04,4.05,3.67,3.42,5.37,5.37,0.17,1.88,15.87,2.98,2.1,36385.2
07/03/2018,10,7,3,3,25176,26971,18,58040,56630,55334,58111,55334,17801,17001,17867,17001,43078,43269,40494,43078,43269,43269,43269,7705,11359,8846,8846,7705,7705,7705,369,19215,48119,6540,10089,10089,8118,8092,10036,1971,1944,1944,1971,2400,2400,2586,1552,0,2342,0,12.6,14.09,0.35,11.09,11.05,14.09,57.55,47.07,4.92,6.44,20.17,19.26,41.45,13.07,6.42,36.8,15.61,8.76,5.09,20.01,20.04,16.61,2.57,19.4,19.33,19.26,0.4,15.46,5.44,6.02,8.57,1.89,5.16,8.33,12.51,2.1,2.06,1.89,1.76,8.67,8.67,0.27,3.13,0,5.91,0,35857.08
08/03/2018,10,8,3,4,27035,30318,23,57323,75633,54941,57457,54941,20707,19468,20785,19468,44458,44690,41810,44458,44690,39971,44690,6972,9477,4622,4622,4537,4537,4537,5994,10590,29495,6378,12203,12203,9519,9477,12119,2684,2642,2642,2684,2459,2459,2649,3099,6972,0,0,10.74,11.21,0.44,10.94,14.73,11.27,46.33,42.98,5.91,8.81,28.59,26.25,44.13,15.72,7.67,39.75,16.18,8.19,5.1,33.6,15.46,5.96,1.89,17.47,17.43,17.39,7.29,10.32,3.56,5.87,10.46,2.3,6.02,9.71,14.95,2.83,2.86,2.58,2.4,8.88,8.88,0.28,6.25,27.91,0,0,34895.16
09/03/2018,10,9,3,5,28612,24106,20,52402,52996,49885,52449,49885,19825,18985,19909,18985,54087,54365,51946,54087,54365,54365,54365,7668,13744,8795,8795,7668,7668,7668,221,18581,42470,6198,12047,12047,9344,9302,11962,2703,2660,2660,2703,1988,1988,2142,3104,0,1165,0,14.98,13.34,0.41,10.14,10.29,13.18,53.64,42.86,5.4,6.9,21.51,20.62,52.21,19.04,8.81,46.23,19.86,11.23,6.11,20.15,27.96,15.78,2.55,19.44,19.36,19.29,0.24,13.86,4.82,5.71,10.32,2.26,5.91,9.53,14.73,2.85,2.88,2.6,2.42,7.18,7.18,0.23,6.26,0,2.94,0,34944.48
10/03/2018,10,10,3,6,21537,22671,20,42827,65039,41003,42938,41003,22213,20883,22285,20883,30612,30781,30612,30612,30781,26155,30781,5112,10288,3406,3406,3343,3343,3343,5066,12182,22361,8751,14414,14414,10317,10288,14329,4096,4041,4041,4096,0,0,0,1537,5112,0,0,9.04,8.92,0.37,8.27,12.44,8.67,35.85,33.04,6.31,9.34,30.29,27.87,29.55,10.72,5.53,26.57,10.77,5.3,3.64,27.65,12.67,4.39,1.39,12.87,12.84,12.81,7.79,11.79,2.7,8.06,11.96,2.63,6.56,10.61,17.29,4.37,4.29,3.94,3.66,0,0,0,3.1,21.93,0,0,31547.88
11/03/2018,10,11,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14142.96
12/03/2018,11,12,3,1,22817,25118,24,48155,48397,45712,48155,45712,19502,18684,19627,18684,46903,47169,46903,46903,47169,47169,47169,6743,3339,7731,7731,6743,6743,6743,0,15960,35655,0,4034,4034,0,0,3973,4034,3973,3973,4034,0,0,0,0,0,2371,0,12.98,14.56,0.47,9.36,9.15,12.82,52.42,41.07,5.18,6.65,20.76,19.79,45.23,16.55,7.83,40.05,17.01,9.72,5.34,17.61,9.51,14.34,2.18,17.05,16.98,16.92,0,12.13,3.91,0,2.83,0.58,0,0,3.48,4.27,4.28,3.88,3.61,0,0,0,0,0,5.98,0,35404.2
13/03/2018,11,13,3,2,31824,28554,19,64533,81620,61807,64692,61807,19610,18395,19647,18395,46072,46310,43893,46072,46310,41647,46310,5165,7258,3438,3438,3375,3375,3375,8041,11222,37874,4926,11167,11167,7285,7258,11081,3883,3823,3823,3883,2023,2023,2180,1547,5165,0,785,12.66,10.22,0.37,12.38,16.13,13.13,51.67,50.31,5.67,8.48,27.55,25.36,45.1,16.36,7.75,40.19,16.78,8.59,5.24,27.32,11.07,4.44,1.4,13,12.97,12.93,10.21,10.94,4.72,4.54,9.75,2.06,5.08,7.69,15.54,4.11,4.12,3.73,3.47,7.31,7.31,0.23,3.12,21.86,0,2.09,35038.8
